Below are the simulation results for the test trials
WORLD	TASK	SUCCESS	STEPS	LOWEST_CLEARANCE
136	6	1	190	0.043	
136	6	1	146	0.072	
136	6	1	250	0.063	
136	6	1	250	0.503	
137	6	1	188	0.050	
137	6	1	152	0.055	
137	6	1	250	0.366	
137	6	1	250	0.112	
137	6	1	238	0.075	
138	6	1	133	0.059	
138	6	1	135	0.067	
138	6	1	250	0.074	
138	6	1	250	0.073	
138	6	1	250	0.088	
139	6	1	78	0.125	
139	6	1	77	0.093	
139	6	1	250	0.038	
139	6	1	114	0.092	
139	6	1	155	0.051	
140	6	1	195	0.091	
140	6	1	226	0.083	
140	6	1	199	0.065	
140	6	1	169	0.086	
140	6	1	213	0.071	
141	6	1	95	0.106	
141	6	1	83	0.123	
141	6	1	250	0.034	
141	6	1	250	0.387	
141	6	1	250	0.073	
142	6	1	97	0.114	
142	6	1	97	0.116	
142	6	1	170	0.074	
142	6	1	196	0.090	
142	6	1	202	0.104	
143	6	1	137	0.068	
143	6	1	119	0.096	
143	6	1	133	0.156	
143	6	1	128	0.084	
143	6	1	136	0.086	
144	6	1	156	0.083	
144	6	1	121	0.108	
144	6	1	142	0.097	
144	6	1	163	0.107	
144	6	1	125	0.093	
145	6	1	101	0.089	
145	6	1	89	0.103	
145	6	1	250	0.080	
145	6	1	250	0.074	
145	6	1	250	0.059	
146	6	1	91	0.126	
146	6	1	78	0.133	
146	6	1	250	0.150	
146	6	1	250	0.114	
146	6	1	250	1.090	
147	6	1	92	0.109	
147	6	1	76	0.102	
147	6	1	153	0.141	
147	6	1	250	0.131	
147	6	1	147	0.089	
148	6	1	118	0.069	
148	6	1	117	0.074	
148	6	1	125	0.080	
148	6	1	135	0.094	
148	6	1	103	0.079	
149	6	1	115	0.090	
149	6	1	120	0.078	
149	6	1	250	0.070	
149	6	1	250	0.074	
149	6	1	250	0.069	
150	6	1	121	0.102	
150	6	1	116	0.078	
150	6	1	250	0.135	
150	6	1	250	0.495	
150	6	1	250	0.057	
151	6	1	156	0.080	
151	6	1	85	0.104	
151	6	1	133	0.086	
